context	tgt_term_gold	tgt_term_hyponym	tgt_term_hypernym	tgt_term_co-hyponym
Bei einer Kontrolle durch ein Organ der Lebensmittelaufsicht in einem Hotelbetrieb  wurden folgende Mängel festgestellt: Vier Köche trugen bei der Zubereitung von Speisen keinen Haarschutz.	Haarschutz	Haarnetz	Kopfschutz,PSA,Schutzausrüstung,persönliche Schutzausrüstung	
Höhensicherungsgeräte halten stets eine straffe Verbindung zum Auffanggurt (ähnlich einem Automatik-Sicherheitsgurt im Pkw). Daher sind sie für wechselnde Arbeitsorte (horizontal bzw. vertikal) gut geeignet.	Höhensicherungsgerät		Auffangsystem	
Anstosskappen nach SN EN 812  bestehen im allgemeinen aus einer leichten Thermoplastschale, deren einfache Innenausstattung an die Kopfweite angepasst werden kann.	Anstosskappe		Kopfbedeckung,Kopfschutz,Kopfschutzmittel	Haarschutzhaube,Industrieschutzhelm,Schutzhaube,Schutzhelm
Elektrische Gefährdungen durch elektrischen Schlag oder Lichtbogen können entstehen bei Anwendung der Elektrizität bei der Arbeit (zum Beispiel Verwendung von elektrischen Betriebsmitteln) oder bei der Durchführung von nicht elektrischen Arbeiten in der Nähe von unter Spannung stehenden Betriebsmitteln.	Lichtbogen	Störlichtbogen		
Die Schutzkleidung für hitzeexponierte Industriearbeiter ist bestimmt zum Schutz gegen Einwirkungen von heißen Teilen, Wärmestrahlung, kurzzeitigem Kontakt mit offenen Flammen, Funkenflug sowie flüssigen Metall- oder Schlackespritzern.	offene Flammen		Zündquelle	
"Arbeitsbereiche, in denen Brand- und Explosionsgefahren bestehen und in denen der Umgang mit offenem Feuer verboten ist, müssen mit dem Verbotszeichen P 02 ""Feuer, offenes Licht und Rauchen verboten"" gekennzeichnet sein."	offenes Feuer		Zündquelle	
Schnittschutzschürzen aus Metall finden vor allem in fleischverarbeitenden Betrieben Verwendung, wo es zu Schnittverletzungen am Rumpf kommen kann.	Schnittschutzschürze		Schnittschutzkleidung,Schutzschürze	Schnittschutzhose
Röntgenschutzkleidung dient dazu, Untersucher und Assistenzpersonal vor Strahlung zu schützen.	Röntgenschutzkleidung		Strahlenschutzkleidung	
Für Arbeiten im Gefahrenraum von Gleisen sind den Arbeitnehmern Warnkleidung sowie Sicherheits- oder Schutzschuhe zur Verfügung zu stellen.	Schutzschuh	Zehenkappe,Zehenschutzkappe	Fußschutz,Fußschutzausrüstung	Berufsschuh,Sicherheitsschuh
Bei Schweißerschutzbekleidung unterscheidet man zwischen zwei Klassen. Je höher die Klasse umso höher die Schutzwirkung der PSA.	Schweißerschutzbekleidung,Schweißerschutzkleidung		Schutzkleidung	CS-Kleidung,Chemikalienschutzkleidung,Gasschutzkleidung,Hitzeschutzkleidung,Kälteschutzkleidung,Schutzkleidung gegen mechanische Einwirkung,Schutzkleidung gegen mechanische Einwirkungen,Staubschutzkleidung,Strahlenschutzkleidung,UV-Schutzbekleidung,UV-Schutzkleidung,Warnkleidung,Wetterschutzkleidung,antistatische Kleidung,antistatische Schutzkleidung
Grundsätzlich sollte bei Arbeiten mit offenen Lasern geschlossene, schwer entflammbare Kleidung (z. B. Schweißerschutzkleidung) getragen werden.	Schweißerschutzbekleidung,Schweißerschutzkleidung		Schutzkleidung	CS-Kleidung,Chemikalienschutzkleidung,Gasschutzkleidung,Hitzeschutzkleidung,Kälteschutzkleidung,Schutzkleidung gegen mechanische Einwirkung,Schutzkleidung gegen mechanische Einwirkungen,Staubschutzkleidung,Strahlenschutzkleidung,UV-Schutzbekleidung,UV-Schutzkleidung,Warnkleidung,Wetterschutzkleidung,antistatische Kleidung,antistatische Schutzkleidung
Fuß- und Beinschutz ist persönliche Schutzausrüstung zum Schutz der Gliedmaßen der unteren Extremitäten vor Verletzungen, vor Schäden durch länger andauernde Beanspruchung, vor anderen schädigenden Einwirkungen und zum Schutz vor Ausrutschen (z. B. Sicherheitsschuhe, Schutzstiefel, Schnittschutzhosen).	Sicherheitsschuh	Zehenkappe,Zehenschutzkappe	Fußschutz,Fußschutzausrüstung	Berufsschuh,Schutzschuh
Für Kopfverletzte werden besondere Innenausstattungen geliefert. Je nach Art der Schädigung werden Textilbänder, Leder oder Schaumstoffpolster zur Verteilung der Helmlast auf dem Kopf unter Aussparung von empfindlichen Kopfbereichen verwendet.	Textilband		Kopfschutz,Kopfschutzausrüstung	
Verbindungsmittel dürfen nicht durch Verknoten befestigt, gekürzt oder verlängert werden.	Verbindungsmittel	Halteseil,Positionierungsseil	Auffangsystem	Auffanggurt,Falldämpfer,Verbindungselement
Die Arbeitnehmer müssen Warnkleider in grellen Farben tragen, die den ganzen Körper bedecken und mit lichtreflektierenden Flächen versehen sind.	Warnkleider	Signalweste,Warnweste	Schutzkleidung	Chemikalienschutzkleidung,Hitzeschutzkleidung,Kälteschutzkleidung,Schweisserschutzkleidung,Strahlenschutzkleidung,Wetterschutzkleidung,antistatische Schutzkleidung
Der Arbeitgeber gewährleistet, dass jeder Arbeitnehmer eine ausreichende und angemessene Ausbildung im Bereich der Gesundheit und Sicherheit erhält, auch unter Berücksichtigung der sprachlichen Kenntnisse .	Ausbildung	Pflichtausbildung,allgemeine Ausbildung,spezifische Ausbildung,verpflichtende Ausbildung		Auskunft,Erkundigung,Information,Schulung,praktische Schulung
Ab 1.1.2008 setzen sich die Notfalleinsatzgruppen in der Landesverwaltung und in den Kindergärten und Schulen jeglicher Art aus den Brandschutzbeauftragten und den Erste-Hilfe-Beauftragten zusammen.	Brandschutzbeauftragter		Mitglied der NFEG,Mitglied der Notfalleinsatzgruppe,Notfallbeauftragter	Erste-Hilfe-Beauftragter
Eine wesentliche Aufgabe der Brandschutzhelfer ist die Brandbekämpfung von Entstehungsbränden mit den im Unternehmen zur Verfügung stehenden Löschmitteln.	Brandschutzhelfer			Ersthelfer
Die Erste-Hilfe-Beauftragten absolvieren eine theoretische und praktische Ausbildung für die Durchführung der internen Erste-Hilfe-Maßnahmen und die Aktivierung der Notfalleinsätze.	Erste-Hilfe-Beauftragter		Mitglied der NFEG,Mitglied der Notfalleinsatzgruppe,Notfallbeauftragter	Brandschutzbeauftragter
Bei der Verwendung biologischer Arbeitsstoffe müssen Arbeitgeber die dem jeweiligen Gesundheitsrisiko entsprechenden Sicherheitsvorkehrungen treffen. Erforderlichenfalls sind den Arbeitnehmern wirksame Impfstoffe zur Verfügung zu stellen.	Gesundheitsrisiko			Sicherheitsrisiko
Das von einem Leuchtzeichen erzeugte Licht muss je nach den vorgesehenen Benutzungsbedingungen deutlich mit seiner Umgebung kontrastieren. Das Leuchtzeichen darf weder durch zu grelles Licht blenden noch durch zu schwaches Licht die Sichtbarkeit beeinträchtigen.	Leuchtzeichen		Sicherheits- und Gesundheitskennzeichnung,Sicherheits- und Gesundheitskennzeichnung am Arbeitsplatz,Sicherheitskennzeichnung	Handzeichen,Schallzeichen,Sicherheitskennzeichen,Sicherheitszeichen,Signalton,Zusatzzeichen,verbale Kommunikation
Bei der Projektierung von unterirdischen Räumen müssen gute Lebensqualität und ein angenehmes Raumklima gewährleistet werden.	Mikroklima,Raumklima		physikalische Einwirkung	
Die Risikobewertung durch physikalische Einwirkungen wird von Fachpersonal im Rahmen des Arbeitsschutzdienstes, welches über spezifische Kenntnisse in diesem Sachbereich verfügt, geplant und mindestens alle vier Jahre ausgeführt.	physikalische Einwirkung		Agent,Arbeitsstoff,Forstgehilfe,Forstwart,Handelsagent,Polizist,Staatspolizist,Täter	Karzinogen,Mutagen,biologischer Arbeitsstoff,biologischer Wirkstoff,chemischer Arbeitsstoff,chemischer Wirkstoff,erbgutverändernder Stoff,karzinogener Arbeitsstoff,mutagener Arbeitsstoff,thermische Einwirkung
Nichttrennende Schutzeinrichtungen müssen so konstruiert und in die Steuerung der Maschine integriert sein, dass die beweglichen Teile nicht in Gang gesetzt werden können, solange sie vom Bedienungspersonal erreicht werden können .	nichttrennende Schutzeinrichtung			trennende Schutzeinrichtung
Werden bei Arbeitsvorgängen offene radioaktive Stoffe unter Anwendung der notwendigen Sicherheitsmaßnahmen verwendet, so ist für die Dauer dieser Arbeitsvorgänge eine Kennzeichnung der radioaktiven Stoffe nicht erforderlich. Bei diesen Arbeitsvorgängen muss eine mit diesen Sicherheitsmaßnahmen vertraute Person anwesend sein.	Sicherheitsmaßnahme	Schutzmaßnahme		
Bei der Konzeption von Arbeitsmitteln müssen Risikobeurteilungen gemacht werden, und im Rahmen eines Sicherheitskonzeptes ist für jede Gefährdung von Personen eine geeignete Sicherheitsmassnahme zu treffen.	Sicherheitsmassnahme	Schutzmassnahme		
Der Arbeitsschutzdienst arbeitet die Sicherheitsverfahren für die verschiedenen Betriebstätigkeiten aus.	Sicherheitsverfahren		Durchführungsverfahren	
An Arbeitsplätzen mit erhöhter Unfallgefahr sowie an abgelegenen Arbeitsplätzen darf ein Arbeitnehmer nur allein beschäftigt werden, wenn eine wirksame Überwachung sichergestellt ist.	Unfallgefahr		Gefahr	
Die Gesundheitsüberwachung beinhaltet Vorsorgeuntersuchungen, mit denen das Vorhandensein eventueller Kontraindikationen für die den Arbeitnehmern zugewiesene Arbeit überprüft wird, sowie ihre Eignung für die spezifische Aufgabe.	Vorsorgeuntersuchung	Vorsorgeuntersuchung vor der Einstellung	ärztliche Untersuchung	regelmäßige ärztliche Untersuchung
Zur Wirksamkeit der Sicherheitskennzeichnung tragen verschiedene Komponenten bei: die Farbe, die Form, das ergänzende Symbol, der Text, die Schriftart usw. Wie die einzelnen Teile miteinander kombiniert werden, kann ebenfalls bedeutsam sein.	Sicherheitskennzeichnung	Handzeichen,Lichtsignal,Sicherheitszeichen,Zusatzzeichen		
Verbotszeichen sind als weiße Kreise mit schwarzem Piktogramm und rotem Rand  zu gestalten.	Verbotszeichen		Sicherheitszeichen	Gebotszeichen,Rettungszeichen,Vorschriftszeichen,Warnzeichen,Zeichen der Brandbekämpfung
Die Warnzeichen sind gelbe Dreiecke mit schwarzem Piktogramm und schwarzem Rand .	Warnzeichen		Sicherheitszeichen	Gebotszeichen,Rettungszeichen,Verbots- oder Beschränkungszeichen,Verbotszeichen,Vorschriftszeichen,Zeichen der Brandbekämpfung
Lässt sich eine Gefahrenstelle nicht unverzüglich oder restlos beseitigen, so ist sie zu kennzeichnen. Dies kann geschehen durch ein Verbots-, Warn- oder Gebotszeichen, durch Farbe oder ein anderes Element, welches die Gefahr rasch und eindeutig erkennen lässt .	Gebotszeichen		Sicherheitszeichen	Rettungszeichen,Verbotssignal,Verbotszeichen,Warnzeichen,Zeichen für die Brandbekämpfung
Da Rettungsschilder ohnehin in Grün vorgeschrieben sind, ist  die Farbe Grün für die Rettungszeichenleuchten über dem Notausgang zu empfehlen.	Rettungsschild		Schild,Sicherheitsschild	Brandschutzschild,Gebotsschild,Verbotsschild,Warnschild
Ein Sicherheitszeichen ist ein Zeichen, das durch Kombination von geometrischer Form und Farbe sowie graphischem Symbol eine bestimmte Sicherheits- und Gesundheitsschutzaussage ermöglicht.	graphisches Symbol	Gefahrenpiktogramm		
Um die drohende Gefahr oder gewünschte sichere Verhaltensweise möglichst sinnfällig auf dem Sicherheitszeichen darzustellen, wird häufig ein Symbol  verwendet. Die lodernde Flamme symbolisiert zum Beispiel einen feuergefährlichen Stoff; das Ausrufezeichen gilt als Symbol der Gefahr.	Symbol	Gefahrenpiktogramm		
Es werden Farben gezielt für die Arbeitssicherheit eingesetzt. In den meisten Fällen werden den verwendeten Grundfarben entsprechende Kontrastfarben zugeordnet, um die zu übermittelnde Botschaft besser erkennbar zu machen	Kontrastfarbe			Sicherheitsfarbe
Eigenmerkmale von Verbotszeichen sind: Form: rund, schwarzes Piktogramm auf weißem Grund, Rand und Querbalken (von links nach rechts in einem Neigungswinkel von 45° zur Horizontalen) rot (die Sicherheitsfarbe Rot muss mindestens 35% der Oberfläche des Zeichens ausmachen).	Querbalken		Verbotsschild	
Eigenmerkmale von Verbotszeichen sind: Form: rund, schwarzes Piktogramm auf weißem Grund, Rand und Querbalken (von links nach rechts in einem Neigungswinkel von 45° zur Horizontalen) rot (die Sicherheitsfarbe Rot muss mindestens 35% der Oberfläche des Zeichens ausmachen).	Rand		Verbotsschild,Warnschild	
Bodenbeläge sind so auszuführen, dass sich keine Funken bilden können.	Funke		Zündquelle	
Erst  wenn die Kontaktfläche groß wird, z. B. durch unprofilierte oder grob/großflächig profilierte Schuhsohlen, bei hoher Aufsetzgeschwindigkeit und geringer Aufsetzkraft (z. B. durch weiten Ausfallschritt) oder durch anderes Gleitmittel (z. B. Öl) erhöht sich das Rutschrisiko.	Rutschgefährdung,Rutschrisiko		Gefahr,Gefährdung,Risiko	Stolpergefährdung,Sturz- und Absturzgefährdung,Sturz- und Absturzrisiko
Bei Unfällen und Bränden mit brandfördernden Stoffen (Klasse 5) ist mit der Freisetzung von Aktivsauerstoff bzw. eines anderen oxidierend wirkenden Stoffes zu rechnen.	brandfördernder Stoff		Verbrennung,Verbrennungsvorgang	Brennstoff,Zündquelle,brennbarer Stoff
„Binnenschifffahrtsinformationsdienste (River Information Services – RIS)“ sind die harmonisierten Informationsdienste zur Unterstützung des Verkehrs- und Transportmanagements in der Binnenschifffahrt einschließlich – sofern technisch durchführbar – der Schnittstellen mit anderen Verkehrsträgern .	Binnenschifffahrt		Schifffahrt	
Bei dem muskelkraftbetriebenen Sportfahrzeug darf  die vom Hersteller angegebene höchste zulässige Anzahl der Sitzplätze nicht überschritten werden und muss für jeden Fahrgast und jedes Besatzungsmitglied ein Rettungsmittel  an Bord vorhanden sein.	Rettungsmittel		PSA,Schutzausrüstung,persönliche Schutzausrüstung	
In der Galvanotechnik und in den Laboratorien ist die Installation leicht und schnell erreichbarer Notduschen und Augenduschen erforderlich. Die Duschen müssen eindeutig gekennzeichnet sein und der Zugang muss stets freigehalten werden.	Notdusche		Erste-Hilfe-Ausstattung	
In unmittelbarer Nähe von Turnhallen ist ein Erste-Hilfe-Raum mit einer Liege einzurichten.	Erste-Hilfe-Raum,Sanitätsraum			Krankenzimmer,Pflegeraum
Die Betriebe der Gruppe C haben folgende Ausstattung: a) einen Verbandskasten an jedem Arbeitsort, der angemessen und an einem leicht zugänglichen Ort aufbewahrt wird und anhand einer geeigneten Kennzeichnung auffindbar ist, .	Verbandskasten		Erste-Hilfe-Ausstattung	Erste-Hilfe-Koffer
Rettungstransportmittel, z. B. Krankentragen, dienen dem sachkundigen, schonenden Transport Verletzter vom Ort des Geschehens zur weiteren Versorgung.	Krankentrage	Schleifkorbtrage		
Wenn kein fließendes Wasser zur Verfügung steht, kann die mit Trinkwasser gespeiste Augennotdusche in Abweichung von den allgemeinen Regeln durch Augenspülflüssigkeiten ersetzt werden.	Augendusche,Augennotdusche		Augenspüleinrichtung	Augenspülflasche
Für den Ernstfall wichtige Einrichtungen wie Brandschutztüren, Feuerlöscher, Brandmelder, Hydranten und Brandmeldetelefone durch Brandschutzschilder kennzeichnen.	Brandmeldetelefon			Notruftelefon
Die rasche Beseitigung der von den Sprengstoffen verursachten Gasen, des Qualms und des Staubs ist durch künstliche Belüftung zu bewirken .	künstliche Belüftung		Lüftung	
Mitarbeiter, die sich über Stunden unter schlechten klimatischen Bedingungen in geschlossenen Räumen aufhalten, leiden häufig unter Beschwerden wie Kopfschmerzen, mangelnder Konzentrationsfähigkeit oder Übelkeit.	geschlossener Raum			teilweise geschlossener Raum
Tätigkeiten im Kältebereich oder im Hitzebereich sind auf das absolute Mindestmaß zu begrenzen. Personen, die sich in diesen Bereichen aufhalten, müssen in die Pflichtvorsorge  aufgenommen werden.	Kältebereich,Kälteumgebung			heiße Umgebung,warme Umgebung
Ein Brandverlauf kann in Phasen, die sich durch unterschiedliche Charakteristika bezüglich Brandausdehnung, Temperatur und Rauchentwicklung unterscheiden, gegliedert werden.	Brandverlauf	Abklingphase,Anfangsphase des Brandes,Entstehungsbrandphase,Vollbrandphase		
Ist das Betreiben einer Werkzeugmaschine mit einem hohen Brandrisiko und mit der Gefahr von nachfolgenden Metallbränden verbunden, sind integrierte Brandmelde- und Löscheinrichtungen vorzusehen .	Metallbrand		Brand,Brandstiftung	
Die Entwicklung eines Feststoffbrands erfolgt typischer Weise in der Reihenfolge Entstehungs-, Ausbreitungs-, Vollbrand- und Abklingphase.	Abklingen,Abklingphase		Brandverlauf	Anfangsphase des Brandes,Entstehungsbrandphase,Entstehungsphase,Vollbrand,Vollbrandphase,Zündphase,voll entwickelter Brand
In der Brandklasse B werden Brände von flüssigen oder flüssig werdenden Stoffen zusammengefasst, die unter reiner Flammenbildung verbrennen. Dazu gehören unter anderem Benzin, Benzol, Heizöl, Diesel, Alkohol, Teer, Wachs, Farben, Lacke, Lösungsmittel, Aceton, Ether, Harz sowie viele Kunststoffe.	Brand von flüssigen oder flüssig werdenden Stoffen		Brand,Brandstiftung	
Druckbelüftungsanlagen müssen im Brandfall automatisch auslösen. Sie dürfen auch zusätzlich über eine automatische Brandmeldeanlage ausgelöst werden können.	automatische Brandmeldeanlage		Brandschutzanlage,Löschanlage	
Falls Wände Teil einer baulichen Brandabschnittstrennung sind , müssen sie die Anforderungen an Brandwände erfüllen . Sie müssen dann u. a.: aus Baustoffen der Baustoffklasse A  bestehen; mindestens feuerbeständig  sein.	Brandabschnittstrennung		Brandschutzmaßnahme	
Der technisch bedingte Hintergrundlärm in einem Büroraum wird in der Regel durch Klimaanlagen und EDV-Geräte erzeugt.	Hintergrundlärm		Geräusch,Lärm	
Eine Aufnahme von Wirkstoffen über die benetzte Haut ist  möglich, unter den praktischen Rahmenbedingungen (übliche Expositionsintensität und -dauer) der Flächendesinfektion sind allerdings systemische Wirkungen im Sinne von Organschäden oder neurologischen Defekten unwahrscheinlich .	Expositionsausmaß,Expositionsintensität		Exposition	Einwirkdauer,Einwirkungsdauer,Expositionsart,Expositionsdauer,Expositionswert
Bei Arbeiten im Apothekenlaboratorium, wie beispielsweise der Prüfung von Ausgangsstoffen, werden gefährliche Stoffe in geringen Mengen verwendet. Die chemischen Expositionsrisiken sind bei automatisierten Verfahren sehr gering, bei manuellen Verfahren können sie aufgrund des möglichen Expositionsausmaßes relevant sein.	Expositionsausmaß,Expositionsintensität		Exposition	Einwirkdauer,Einwirkungsdauer,Expositionsart,Expositionsdauer,Expositionswert
Bei der Ermittlung der Expositionswerte bei Vibrationsbelastung wird auf einen Beurteilungszeitraum von 8 h normiert.	Expositionswert	Lärmexpositionspegel	Exposition	Einwirkdauer,Einwirkungsdauer,Expositionsart,Expositionsausmaß,Expositionsdauer,Expositionsintensität
Eine Betriebsbegehung zur Kontrolle der Brandschutzmaßnahmen – auf Basis der Risikobeurteilung – sollte regelmäßig, mindestens jedoch in Abständen von zwei Jahren, durchgeführt werden.	Brandschutzmaßnahme	Brandabschnittstrennung		
Können Gesundheitsbeeinträchtigungen durch technische oder organisatorische Massnahmen nicht oder nicht vollständig ausgeschlossen werden, so muss der Arbeitgeber den Arbeitnehmern zumutbare und wirksame persönliche Schutzausrüstungen zur Verfügung stellen.	organisatorische Massnahme			technische Massnahme
Für Arbeitnehmer, welche Arbeitsstoffen ausgesetzt sind, für die ein biologischer Arbeitsstofftoleranzwert festgesetzt ist, ist die biologische Überwachung verpflichtend.	biologischer Arbeitsstofftoleranzwert		Grenzwert	
Nach der Sprengung ist es notwendig, mindestens 15 Minuten nach der letzten Detonation abzuwarten, bevor der Sprengmeister und der Schichtführer zum Abbaufront zurückkehren; wegen der Explosionsgase ist immer Erstickungsgefahr zu befürchten.	Erstickungsgefahr		Gefahr	
Schweiß- und Schneidarbeiten unter Druckluft erhöhen die Brandgefahr sowie die Vergiftungsgefahr durch Schweißrauche.	Intoxikationsgefahr,Vergiftungsgefahr		Gefahr	
Für diejenigen, die sich für längere Zeit im Tunnel aufhalten müssen, stehen einige Bezugselemente zur Verfügung, die eine Garantien zum Schutz ihrer Gesundheit bieten. Diese Bezugselemente bestehen aus einer Reihe von Grenzwerten (genannt TLV) für jede potenziell eingeatmete Substanz.	TLV	TLV-STEL,TLV-TWA		
Chemikalien werden nach ihrer Giftigkeit in drei Gruppen eingeteilt: sehr giftige (T+); giftige (T) und gesundheitsschädliche Chemikalien (Xn).	Giftigkeit,Toxizität	akute Toxizität,chronische Toxizität		
Soweit Arbeitsstoffe noch entsprechend ihren Eigenschaften im Sinne des § 3 ChemG 1996 eingestuft oder gekennzeichnet sind, gelten für sie auch jene Bedienstetenschutzvorschriften, die bereits auf die entsprechende Gefahrenkategorie nach der CLP-Verordnung abstellen .	Gefahrenkategorie		Gefahrenklasse	
Die Durchführung von Instruktionskursen und Evakuierungsübungen mit allen betroffenen Gebäudenutzern ist gemäss den gesetzlichen Vorschriften ­gerade bei Gebäuden, von denen eine besondere Gefährdung ausgeht, peri­odisch und unter Anleitung des SIBE Sicherheitsbeauftragten zu ­organisieren.	Evakuierungsübung			Brandschutzübung
Als Räumungssignal dienen die Sirenen der Brandmeldeanlage. Daraufhin erfolgt eine automatisierte Durchsage über Lautsprecher, welche die notwendige Räumung des Gebäudes ankündigt.	Evakuierungssignal,Räumungssignal	Dauerton		
Es empfiehlt  sich, für die Alarmierung der Bevölkerung im Notstandsfall landesweit nur das einheitliche Zivilschutzsignal „Alarm“ mit einem einminütigen auf- und abschwellenden Heulton zu verwenden.	auf- und abschwellender Heulton		Evakuierungssignal,Räumungssignal	Dauerton
Das Arbeitsprogramm beinhaltet einen Notfallplan sowie Angaben über die Arbeitsweisen, die persönlichen Schutzausrüstungen, die Techniken und Arbeitsverfahren, die Verankerungen, die Positionierung des Arbeiters, die Zugänge, die Arbeitstrupps und die Werkzeuge .	Evakuierungsplan,Notfall- und Evakuierungsplan,Notfallplan	Räumungsplan		
Der Auftragnehmer und das ihn vertretende Personal nehmen den Lageplan des Gebäudes, den Verlauf der Fluchtwege und den Evakuierungsplan zur Kenntnis.	Evakuierungsplan,Notfall- und Evakuierungsplan,Notfallplan	Räumungsplan		
Die Betriebe der Gruppe A und B haben folgende Ausstattung: a) einen Erste-Hilfe-Koffer an jedem Arbeitsort, der angemessen und an einem leicht zugänglichen Ort aufbewahrt wird und anhand einer geeigneten Kennzeichnung auffindbar ist, .	Erste-Hilfe-Koffer		Erste-Hilfe-Ausstattung	Verbandskasten
Im Jahr 2004 wurden 82 Untersuchungen von schweren und tödlichen Arbeitsunfällen durchgeführt. Die häufigsten Unfallursachen waren Stürze aus großer Höhe oder Verletzungen bei der Verwendung von Maschinen oder Werkzeugen.	Unfallursache	gewaltsame Ursache		
Stellteile müssen so gestaltet sein, dass unter Berücksichtigung ergonomischer Prinzipien ihre Anordnung, ihre Bewegungsrichtung und ihr Betätigungswiderstand mit der Steuerwirkung kompatibel sind.	Stellteil	Not-Halt-Befehlsgerät,Not-Halt-Gerät		
Bei der Kontrollinspektion muß der Arbeitsinspektor sowohl die Abänderungsprojekte prüfen, als auch die Abnahmen der Änderungen an den Maschinen, Anlagen und Einrichtungen durchführen.	Kontrollinspektion		Augenschein,Inspektion	
Die Risikostufe wird nicht aufgrund des Vorhandenseins von einzelnen Indikatoren der Bereiche Arbeitsinhalt und Arbeitskontext bewertet, sondern in ihrer Gesamtheit.	Risikoklasse,Risikostufe	geringes Risiko,mittleres Risiko,niedriges Risiko		
Die aktiven Teile elektrischer Anlagen und Betriebsmittel müssen entsprechend ihrer Spannung, Frequenz, Verwendungsart und ihrem Betriebsort durch Isolierung, Lage, Anordnung oder festangebrachte Einrichtungen gegen direktes Berühren geschützt sein.	aktives Teil	ungeschütztes aktives Teil,unter Spannung stehendes aktives Teil		
Bei Stromunfällen im Niederspannungsbereich kommt es häufig zu einem mechanischen Zusammenziehen der Muskulatur (Klebenbleiben). Dabei kann es zu Muskel- und Sehnenabrissen sowie Zerrungen kommen. Durch Schreckreaktionen sind Sekundärunfälle, z. B. Sturz von der Leiter, häufig.	Sekundärunfall		Unfall	
Der Basisschutz soll sicher stellen, dass Personen und Nutztiere aktive Teile unter normalen Betriebsbedingungen nicht berühren können, wenn die Nennspannungen über 25 Effektivwert Wechselspannung bzw. 60 V Gleichspannung betragen.	Basisschutz,Schutz gegen direktes Berühren			Fehlerschutz,Schutz bei indirektem Berühren
Bevorzugt sind Fehlerstrom-Schutzeinrichtungen für den Fehlerschutz einzusetzen. Alternativ dürfen Überstrom-Schutzeinrichtungen für den Fehlerschutz verwendet werden.	Fehlerschutz,Schutz bei indirektem Berühren			Basisschutz,Schutz gegen direktes Berühren
Die Schutzklassen dienen dazu Betriebsmittel / Geräte in Bezug auf ihren Schutz vor elektrischem Schlag zu beurteilen und einzuteilen.	Schutzklasse	Schutzklasse I,Schutzklasse II,Schutzklasse III		
Bei Berührung von stromführenden Teilen kommt es zu einem Stromunfall, wenn ein geschlossener Stromkreis entsteht.	Elektrounfall,Stromunfall		Unfall	
Bei den unmittelbaren (direkten) Auswirkungen ist grundsätzlich zu unterscheiden zwischen akuten und chronischen Wirkungen von Vibrationen.	direkte Auswirkungen,unmittelbare Auswirkungen,unmittelbare Wirkungen	akute Wirkungen,chronische Wirkungen		indirekte Auswirkungen,mittelbare Auswirkungen,mittelbare Wirkungen
Wer ständig mit einem Stemmhammer arbeitet, für den sollten Antivibrationshandschuhe zur Grundausstattung gehören.	Antivibrationshandschuh		Schutzhandschuh	
Die Bewertung des Expositionswertes für Hand-Arm-Vibrationen erfolgt anhand der Berechnung des auf einen Bezugszeitraum von 8 Stunden normierten Tagesexpositionswertes A(8) .	A(8),Tagesexpositionswert,täglicher Expositionspegel		Expositionswert für mechanische Vibrationen	
Die PSAgA wird so eingesetzt, dass auch bei einem Wechsel der Anschlagpunkte ein ununterbrochener Schutz gegen Absturz besteht.	PSA gegen Absturz,PSAgA	Auffangsystem,Höhensicherungsgerät,Rückhaltesystem	PSA,Schutzausrüstung,persönliche Schutzausrüstung	Arbeitsplatzpositionierungssystem
Das Arbeitsseil ist mit sicheren Mitteln für das Aufsteigen und Abseilen zu versehen; es ist mit einem selbstblockierenden System zu versehen, welches den Absturz verhindert, falls der Benutzer die Kontrolle über die eigenen Bewegungen verliert.	Arbeitsseil		Seil	Sicherheitsseil
Das Sicherheitsseil ist mit einer beweglichen Absturzsicherung zu versehen, welche mit den Bewegungen des Arbeitnehmers mitläuft.	Sicherheitsseil		Seil	Arbeitsseil
Im Gegensatz zu betretbaren Verglasungen ist für durchsturzsichere Verglasungen statisch keine vertikale Nutzlast für die Bemessung der Verglasung zu berücksichtigen.	durchsturzsicher			bedingt begehbar,begehbar,betretbar,nicht durchsturzsicher
Das Strassenverkehrsamt des Kantons Graubünden ordnete am 30. September 2003 eine Untersuchung zur Abklärung einer allfälligen Alkoholabhängigkeit bei den Psychiatrischen Diensten Graubünden an und entzog X. den Führerausweis vorsorglich für unbestimmte Zeit.	Alkoholabhängigkeit		Alkoholismus	Alkoholmissbrauch
Das Arbeitsinspektorat führt Ermittlungen zu beruflichen Risiken, Maßnahmen zur Aufklärung und Gesundheitserziehung für die Arbeitnehmer und Arbeitgeber durch und überwacht die Einhaltung der gesetzlichen Vorschriften im Gesundheitsbereich zugunsten der Gesundheit der Arbeitnehmer.	Arbeitsinspektorat,Ärztliches Arbeitsinspektorat		Betrieblicher Dienst für Arbeitsmedizin,Dienst für Arbeitsmedizin	Klinische Sektion des Dienstes für Arbeitsmedizin,klinischer Bereich für Arbeitsmedizin
Glastreppen und begehbare Verglasungen dürfen ausschließlich durch planmäßigen Personenverkehr bei üblicher Nutzung und mit einer lotrechten Nutzlast von höchstens 5 kN/m² belastet werden.	begehbar			bedingt begehbar,betretbar,durchsturzsicher,nicht durchsturzsicher
