context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Der Schiedsvertrag ist bei sonstiger Nichtigkeit schriftlich zu errichten und hat den Gegenstand des Rechtsstreits zu bestimmen.	Schiedsvertrag		Schiedsabrede	
Das Kind untersteht der elterlichen Gewalt bis zu seiner Volljährigkeit oder Entlassung aus der elterlichen Gewalt.	elterliche Gewalt	Obsorge	elterliche Sorge	elterliche Sorge
Die Bestimmungen hinsichtlich der Erbfolge der unehelichen Kinder sind anzuwenden, wenn die Abstammung anerkannt oder gerichtlich festgestellt worden ist.	Abstammung			Kindesverhältnis
Schuldverhältnisse entstehen aus Vertrag, aus unerlaubter Handlung oder aus jeder sonstigen Handlung oder Tatsache, die nach der Rechtsordnung solche zu begründen geeignet ist.	unerlaubte Handlung	Delikt	Delikt	
Die Legitimation durch gerichtliche Verfügung erzeugt dieselben Wirkungen wie die Legitimation durch nachfolgende Eheschließung .	Legitimation durch nachfolgende Eheschließung	Legitimation durch nachfolgende Ehe	Legitimation durch nachfolgende Ehe	
Dem Verteidiger stehen jene Befugnisse und Rechte zu, die das Gesetz dem Angeklagten zuerkennt, sofern sie nicht diesem persönlich vorbehalten sind.	Verteidiger	Strafverteidiger		
Die Forderungen bezüglich der Abfertigung sowie der Entschädigung gemäß Artikel 2118 werden im Falle der fruchtlosen Vollstreckung auf die beweglichen Sachen hilfsweise mit Vorrang gegenüber den nicht bevorrechtigten Forderungen im Erlös aus den Liegenschaften untergebracht.	Vollstreckung	Exekution		
Bei Fehlen von ehelichen oder unehelichen Kindern, von Vorfahren, von Brüdern oder Schwestern fällt dem Ehegatten die gesamte Erbschaft an .	Erbschaft,Verlassenschaft	Nachlass	Nachlass	Nachlass
Der Pflichtteilsberechtigte, der kraft Eintritts zum Zug kommt, hat auch die ohne ausdrücklichen Erlaß zugunsten seines Vorfahren gemachten Schenkungen und Vermächtnisse anzurechnen .	Pflichtteilsberechtigter	Noterbe		Noterbe,pflichtteilsberechtigter Erbe
Im Fall der Erbteilung oder der Übertragung des Betriebs haben die  Teilhaber ein Vorrecht auf den Betrieb.	Erbteilung,Teilung der Erbschaft		Auseinandersetzung,Teilung des Nachlasses	
Berichtigung inhaltlicher Fehler und Wiederaufnahme des Verfahrens bei Urteilen des Kassationsgerichtshofs.	Berichtigung inhaltlicher Fehler	Berichtigung von Schreib- und Rechenfehlern,Berichtigung von Schreib- und Rechnungsfehlern		Berichtigung von Schreib - oder Rechnungsfehlern
Besteht berechtigter Grund zur Annahme, daß jemand ein Überführungsstück oder zur strafbaren Handlung gehörige Sachen an seinem Körper verbirgt, so wird eine Durchsuchung der Person angeordnet.	Durchsuchung der Person,Leibesvisitation	Personsdurchsuchung	Durchsuchung von Personen,körperliche Durchsuchung	Personsdurchsuchung
Unmittelbar nachdem die Erörterung für geschlossen erklärt worden ist, entscheidet das Gericht, indem es ein Urteil auf Einstellung des Verfahrens oder ein Dekret auf Einleitung des Hauptverfahrens erläßt.	Dekret auf Einleitung des Hauptverfahrens		Eröffnungsbeschluss	
Gläubiger des Verstorbenen können die Absonderung auch hinsichtlich solcher Sachen vornehmen, die Gegenstand des Vermächtnisses einer bestimmten Sache sind.	Vermächtnis	Legat		Legat
Die Satzung, welche die Vorschriften über die Arbeitsweise der Gesellschaft enthält, wird, auch wenn sie Gegenstand einer eigenen Urkunde bildet, als integrierter Bestandteil des Gründungsvertrags betrachtet und muß diesem angeschlossen sein.	Satzung,Statut		Gesellschaftsvertrag	
Natürliche Energien, die wirtschaftlichen Wert haben, gelten als bewegliche Sachen.	bewegliche Sache	Fahrnis,bewegliches Gut	Fahrnis	Fahrnis
Die natürlichen Früchte gehören dem Eigentümer der Sache, die sie hervorbringt, außer ihr Eigentum steht anderen zu.	natürliche Früchte	Naturalfrüchte	unmittelbare Sachfrüchte	
Die Zivilfrüchte werden Tag für Tag anch Maßgabe der Dauer des Rechts erworben.	Zivilfrüchte		mittelbare Früchte	zivile Früchte
Der Erwerb vollzieht sich kraft Gesetzes ohne Erfordernis der Annahme  und ohne daß eine Ausschlagung vorgenommen werden kann .	Erwerb	Erwerbung		
Das Grundeigentum unterliegt in den von Sondergesetzen  vorgesehenen Fällen besonderen Vorschriften zur Erreichung von Zwecken von öffentlichem Interesse .	Eigentum an Grund und Boden,Grundeigentum		Eigentum an Grundstücken	
Das Eigentum an Grund und Boden erstreckt sich auf den Bereich unter der Erdoberfläche.	Bereich unter der Erdoberfläche,Untergrund		Erdkörper unter der Oberfläche	
Bei Zwangsübertragungen  werden Grunddienstbarkeiten je nach den Erfordernissen der neuen Anordnung aufgehoben, erhalten oder begründet.	Dienstbarkeit,Grunddienstbarkeit	Prädialservitut,Realservitut		Prädialservitut
Ist die vermachte Sache mit einer Dienstbarkeit , mit einem Grundzins oder mit einer anderen auf dem Grundstück haftenden Last oder mit einer Grundrente  beschwert, so ist die Belastung vom Vermächtnisnehmer zu tragen.	Dienstbarkeit,Grunddienstbarkeit	Prädialservitut,Realservitut		Prädialservitut
Erlangt der Eigentümer direkt vom neuen Besitzer oder Inhaber die Rückgabe der Sache, so ist er verpflichtet, dem vorhergebenden Besitzer oder Inhaber den an Stelle der Sache erhaltenen Betrag zurückzugeben.	Inhaber			Innehabender
In jedem Fall ist das Verlangen auf Herausgabe der Materialien  nach Ablauf von sechs Monaten ab dem Tag, an dem der Eigentümer von der Verbindung Kenntnis erhalten hat, nciht mehr zulässig .	Verbindung,Zuwachs			Akzession
Der Eigentümer des herrschenden Grundstücks darf keine Neuerungen vornehmen, die die Lage des dienenden Grunstücks zusätzlich erschweren.	herrschendes Grundstück	herrschende Liegenschaft,herrschender Grund		berechtigtes Grundstück
Der Eigentümer des dienenden Grundstücks ist nicht verpflichtet, irgendeine Handlung vorzunehmen, um die Ausübung der Dienstbarkeit durch den Berechtigten zu ermöglichen, es sei denn, daß das Gesetz oder der Rechtstitel etwas anderes bestimmt .	dienendes Grundstück	belastetes Grundstück,dienende Liegenschaft,dienstbarer Grund	belastetes Grundstück	belastetes Grundstück,beschwertes Grundstück
Die unteilbaren Verbindlichkeiten sind, vorbehaltlich der Vorschriften der folgenden Artikel, durch die Vorschriften über die Gesamtschuldverhältnisse geregelt, soweit diese anwendbar sind.	Gesamtschuld,Gesamtschuldverhältnis,Gesamtverbindlichkeit	Gesamtobligation		
Im Innenverhältnis teilt sich die Gesamtverbindlichkeit unter den verschiedenen Schuldnern oder unter den verschiedenen Gläubigern auf .	Gesamtschuld,Gesamtschuldverhältnis,Gesamtverbindlichkeit	Gesamtobligation		
Wenn eine gesonderte Verwendung nicht möglich ist, ist die Neuerung unstatthaft, außer die Mehrheit der Miteigentümer, die sie beschlossen oder gutgeheißen hat, ist bereit, den gesamten Aufwand für sie zu tragen.	Neuerung		Erneuerung	
Wenn die Klage oder die Verfügung einen Inhalt aufweist, der über die Aufgaben des Verwalters hinausreicht, ist dieser verpflichtet, davon unverzüglich die Versammlung der Miteigentümer zu verständigen.	Versammlung der Hausmiteigentümer,Versammlung der Miteigentümer		Versammlung der Wohnungseigentümer,Wohnungseigentümerversammlung	
Der Eheschließung hat das vom Standesbeamten durchzuführende Aufgebot voranzugehen.	Standesbeamter			Zivilstandsbeamter
Die Versöhnung der Ehegatten bewirkt die Aufgabe der bereits eingereichten Klage auf Ehetrennung.	Versöhnung			Aussöhnung
Die einverständliche Ehetrennung wird mit der Bestätigung durch das Landesgericht wirksam, das in nichtöffentlicher Sitzung aufgrund eines Berichts des Präsidenten verfügt.	einverständliche Ehetrennung			Trennung im gegenseitigen Einvernehmen
Unbeschadet der Rechte, die Dritte kraft Besitzes in gutem Glauben  erworben haben, kann der Auftraggeber die Herausgabe der beweglichen Sachen verlangen , die auf seine Rechnung von dem in eigenem Namen handelnden Beauftragten  erworben wurden.	Besitz in gutem Glauben	gutgläubiger Besitz,redlicher Besitz	redlicher Besitz	gutgläubiger Besitz
Wenn es sich um die Ausübung von Befugnissen handelt, die Gegenstand einer durch die öffentliche Verwaltung erteilten Konzession sein können, ist auch Klage auf Erhaltung des Besitzes zulässig.	Klage auf Erhaltung des Besitzes	Besitzklage,Besitzstörungsklage		Klage aus Besitzesstörung
Sachen, hinsichtlich derer keiner der Ehegatten das Alleineigentum nachweisen kann, stehen zu gleichen Teilen im ungeteilten Eigentum beider Ehegatten.	ungeteiltes Eigentum	Gesamthandeigentum	Eigentum zur gesamten Hand,Gesamthandseigentum	Gesamteigentum
Den unehelichen Kindern, die ein Recht auf Unterhalt, Ausbildung und Erziehung haben, gebührt eine lebenslange Rente in Höhe des Ertrages des Erbteils, auf den sie Anspruch hätten, wäre die Abstammung festgestellt oder anerkannt worden.	Anspruch auf Unterhalt,Anspruch auf vollen Unterhalt,Recht auf Unterhalt	Unterhaltsanspruch	Unterhaltsanspruch	Unterhaltsanspruch
Zur Feststellung des Datums von Quittungen kann das Gericht unter Berücksichtigung der Umstände jedes beliebige Beweismittel zulassen.	Quittung		Empfangsbestätigung,schriftliches Empfangsbekenntnis	
Liegt eine Kindesunterschiebung oder eine Kindesvertauschung vor, so kann das Kind, obwohl die Geburtskunde mit dem tatsächlichen Personenstand übereinstimmt, einen anderen Personenstand beanspruchen .	Kindesunterschiebung	Unterschiebung eines Kindes		
Die Vaterschaftsbestreitungsklage seitens der Mutter muss innerhalb einer Frist von sechs Monaten ab der Geburt des Kindes eingebracht werden oder ab dem Tag, an dem sie Kenntnis von der Zeugungsunfähigkeit des Ehemanns zum Zeitpunkt der Empfängnis erhalten hat.	Klage auf Bestreitung der Vaterschaft,Vaterschaftsbestreitungsklage	Ehelichkeitsbestreitungsklage	Klage auf Anfechtung der Vaterschaft,Vaterschaftsanfechtungsklage	Klage auf Anfechtung der Vaterschaft
Ein durch Eintritt zur Erbfolge berufener Nachkomme hat das auszugleichen, was dem Vorfahren geschenkt worden ist, auch wenn er dessen Erbschaft ausgeschlagen hat.	Vorfahre		Verwandter der aufsteigenden Linie	
Ein durch Eintritt zur Erbfolge berufener Nachkomme hat das auszugleichen, was dem Vorfahren geschenkt worden ist, auch wenn er dessen Erbschaft ausgeschlagen hat.	Nachkomme	Abkömmling	Abkömmling	
Die Zustimmung der in den Artikeln 296 und 297 CCangeführten Personen kann durch eine Person abgegeben werden, die mit einer durch öffentliche Urkunde oder durch beglaubigte Privaturkunde erteilten Spezialvollmacht versehen ist.	Spezialvollmacht	Einzelvollmacht	Sondervollmacht	Spezialhandlungsvollmacht
Die Entlassung aus der elterlichen Verantwortung verleiht dem Minderjährigen die Fähigkeit, jene Rechtshandlungen vorzunehmen, die nicht über die ordentliche Verwaltung hinausgehen.	Entlassung aus der elterlichen Verantwortung		Befreiung vom Alterserfordernis,Befreiung vom Erfordernis des Volljährigkeitsalters	
Das Vormundschaftgericht nimmt die Bestellung des Vormundes und des Vormundstellvertreters vor, sobald es von der Tatsache, die die Eröffnung der Vormundschaft nach sich zieht, Kenntnis erlangt hat.	Vormundstellvertreter	Kollisionskurator,besonderer Kurator		
Unbeschadet eines anderslautenden Willens der Parteien hat der Darlehensnehmer dem Darlehensgeber Zinsen zu zahlen .	Darlehensgeber	Darleiher		Darleiher
Erfüllt der Darlehensnehmer nicht die Verpflichtung zur Zahlung der Zinsen, so kann der Darlehensgeber die Aufhebung des Vertrags verlangen.	Darlehensnehmer			Borger
Sind das Realangebot und die Hinterlegung gültig, gehen die dafür erforderlich gewordenen Kosten zu Lasten des Gläubigers.	Realangebot	reales Anbot		Realoblation
Verweigert der Gläubiger die Annahme des Realangebots oder erscheint er nicht zur Empfangnahme der ihm mittels Aufforderung angebotenen Sachen, so kann der Schuldner die Hinterlegung vornehmen.	Aufforderung	Einmahnung,Mahnung	Mahnung	Mahnung
Die Neuerung ist unwirksam, wenn die ursprüngliche Verbindlichkeit nicht bestand.	Neuerung	Novation	Novation,Schuldersetzung,Schuldumschaffung,Schuldumwandlung	Novation
Die Aufrechnung findet nur zwischen zwei Schulden statt, die einen Geldbetrag oder eine Menge vertretbarer Sachen der gleichen Gattung zum Gegenstand haben und die gleichermaßen feststehen und fällig sind.	Aufrechnung,Verrechnung	Kompensation		Kompensation
Der Miterbe, der seinen Anteil oder einen Teil desselben einem Außenstehenden veräußern will , hat das Veräußerungsangebot unter Angabe des Preises den übrigen Miterben zuzustellen, die ein Vorkaufsrecht haben.	Miterbe	gemeinschaftlicher Erbe		
Die Adoption begründet keine zivilrechtlichen Beziehungen zwischen dem Adoptierenden und der Familie des Adoptierten .	Adoptierender	Annehmender	Annehmender	Annehmender,adoptierende Person
Der Angewiesene kann gegen den Anweisungsempfänger die sich aus seinen Rechtsbeziehungen zu diesem ergebenden Einwendungen erheben.	Einwendung	Einrede	Einrede	Einrede
Gewähren die Aktien ein Bezugsrecht, steht dieses dem Gesellschafter zu.	Bezugsrecht,Optionsrecht		Aktienbezugsrecht	
Eine Verfügung zur Gesamtrechtsnachfolge  ist nichtig, wenn sie vom Erblasser unter der Bedingung gemacht wurde, daß er seinerseits im Testament des Erben oder des Vermächtnisnehmers begünstigt wird.	Vermächtnisnehmer	Bedachter,Legatar	Bedachter	Bedachter,Legatar
Bei gesetzlicher Erbfolge wächst der Teil desjenigen, der ausschlägt, denen an, die mit dem Ausschlagenden zusammengetroffen wären .	gesetzliche Erbfolge	Intestaterbfolge		Intestaterbfolge
Während des Schwebens der aufschiebenden Bedingung kann der Erwerber eines Rechts Rechtshandlungen zur Sicherung vornehmen.	aufschiebende Bedingung	Suspensivbedingung	suspensive Bedingung	Suspensivbedingung
Das notarielle Testament kann ein öffentliches  oder ein geheimes  sein.	notarielles Testament		Testament zur Niederschrift eines Notars	
Wenn der Beschwerte oder der Dritte die Wahl nicht vornehmen kann oder will, wird diese vom Präsidenten des Landesgerichts, in dessen Sprengel die Erbfolge eröffnet wurde, nach Aufnahme zweckdienlicher Informationen durch Dekret getroffen.	Beschwerter	Belasteter		
Der Eingesetzte hat den Genuß und die freie Verwaltung der Güter, die Gegenstand der Nacherbfolge sind .	Nacherbfolge	Nacherbfall,Nacherbschaft,fideikommissarische Substitution	Nacherbeneinsetzung,Nacherbfall,Nacherbschaft	Nacherbeneinsetzung,Nacherbschaft
Vor der Vornahme der Teilung hat der Testamentsvollstrecker die Erben zu hören.	Testamentsvollstrecker,Testamentvollstrecker	Testaments-Exekutor,Vollzieher des letzten Willens,Willensvollstrecker		Willensvollstrecker,Willensvollzieher
Die Veräußerung eines Rechts oder die Übernahme einer Verpflichtung ist nichtig, wenn sie an eine aufschiebende Bedingung geknüpft wird, die sie vom bloßen Willen des Veräußerers beziehungsweise von jenem des Schuldners abhängig macht.	Veräußerung			Veräusserung
Ist die Erbmasse erschöpft, so haben die nicht befriedigten Gläubiger nur ein Rückgriffsrecht gegen die Vermächtnisnehmer in Höhe des Wertes des Vermächtnisses .	Erbmasse	Erbschaftsmasse,Verlassenschaftsmasse	Nachlassmasse	
Die Abmachung des Heimfalls bewirkt, daß jede Veräußerung der geschenkten Güter aufgelöst ist und diese an den Schenker frei von jeder Last oder Hypothek zurückfallen .	Abmachung des Heimfalls			Verabredung des Rückfalls
Ein Arbeitsvertrag, der unter Nichtbeachtung der Bestimmungen über die Regelung der Nachfrage nach Arbeit und des Angebots von Arbeit abgeschlossen wird, kann unbeschadet der Anwendung strafrechtlicher Maßnahmen für nichtig erklärt werden.	Arbeitsvertrag,Einzelvertrag,Individualarbeitsvertrag,Individualvertrag	Einzelarbeitsvertrag	Einzelarbeitsvertrag	Einzelarbeitsvertrag
Der Versprechende kann dem Dritten gegenüber die Einwendungen erheben, die auf dem Vertrag beruhen, aus dem der Dritte sein Recht herleitet .	Versprechender			Promittent
Die Bestimmungen über die Wirkungen der nachträglich eingetretenen übermäßigen Belastung finden auch auf die vor dem Inkrafttreten des Gesetzbuches abgeschlossenen Verträge Anwendung, wenn die Umstände und Ereignisse, aus denen sich die übermäßige Belastung ergibt, nachher eingetreten sind.	übermäßige Belastung	unzumutbare Härte	unzumutbare Härte	unzumutbare Härte
Unberührt bleiben jene Gebräuche, die vorsehen, daß auch ohne ausdrückliche Abmachung Gewähr für die gute Gebrauchsfähigkeit zu leisten ist.	Gewähr für die gute Gebrauchsfähigkeit,Gewährleistung für die gute Gebrauchsfähigkeit		Haftung für die Gebrauchsfähigkeit der verkauften Sache	Gewährleistung der Gebrauchsfähigkeit
Die Entlohnung des Lehrlings darf nicht in der Form des Akkordlohns erfolgen.	Lehrling		Auszubildender,Azubi	
Der mit der beglaubigten Unterschrift der Vertragsteile versehene Gründungsvertrag  ist von den Geschäftsführern innerhalb von dreißig Tagen zur Eintragung bei jenem Handelsregisteramt zu hinterlegen, in dessen Sprengel der Sitz der Gesellschaft festgelegt wird.	Handelsregisteramt	Geschäftsstelle des Handelsregisters	Geschäftsstelle des Handelsregisters	
Wenn der Werkhersteller das Werk nicht gemäß den vom Vertrag festgesetzten Bedingungen und nicht fachgemäß ausführt, kann der Besteller eine angemessene Frist festsetzen, innerhalb welcher der Werkhersteller diesen Bedingungen nachzukommen hat.	Werkhersteller	Unternehmer,Werkunternehmer	Unternehmer	Unternehmer
Wenn es sich um ein Werk handelt, das in einzelnen Teilleistungen auszuführen ist, kann jeder der Vertragsteile verlangen, daß die Prüfung hinsichtlich der einzelnen Teilleistungen vorgenommen wird.	Teilleistung	Teilwerk		Teillieferung
Ein Agenturvertrag auf bestimmte Zeit, der nach Vertragsende von den Parteien weiter ausgeführt wird, wandelt sich in einen Vertrag auf unbestimmte Zeit um.	Agenturvertrag	Handelsvertretervertrag	Handelsvertretervertrag	
Der Makler hat Anspruch auf die Provision von jeder der Parteien, wenn das Geschäft durch sein Zutun zustandegekommen ist.	Makler		Mäkler	Mäkler
Ohne Einwilligung des Hinterlegers darf der Verwahrer die hinterlegte Sache weder gebrauchen noch anderen in Verwahrung geben.	Verwahrer			Aufbewahrer
Die öffentlichen Lagerhäuser haben auf Verlangen des Einlagerers einen Lagerschein über die eingelagerten Waren auszustellen.	Lagerschein			Lagerempfanggschein
Das Indossament überträgt sämtliche sich aus dem Papier ergebenden Rechte.	Indossament,Indossierung	Giro		
Der Besitzer des bloßen Lagerscheins kann die eingelagerten Sachen auch vor der Fälligkeit der Forderung, für die sie in Pfand gegeben wurden, zurücknehmen, indem er beim öffentlichen Lagerhaus den dem Pfandgläubiger bei Fälligkeit geschuldeten Betrag hinterlegt.	Pfandgläubiger		Pfändungsgläubiger	
Das Indossament ist auf das Papier zu schreiben und durch den Indossanten zu unterfertigen.	Indossant		Girant	
Der Entlehner hat die Sache mit der Sorgfalt eines guten Familienvaters  aufzubewahren  und zu erhalten.	Entlehner		Entleiher	
Für die Verbindlichkeiten der Gesellschaft haften überdies persönlich (2740) und als Gesamtschuldner (1292 ff.) die Gesellschafter, die im Namen und für Rechnung der Gesellschaft gehandelt haben (2266) und, vorbehaltlich einer gegenteiligen Abmachung, die übrigen Gesellschafter (204 ÜbgB.).	Gesellschaftsverbindlichkeiten,Verbindlichkeiten der Gesellschaft	Gesellschaftsschulden	Gesellschaftsschulden	Gesellschaftsschulden,gemeinschaftliche Schulden
Die Liquidatoren können die zur Liquidation erforderlichen Rechtshandlungen vornehmen und können, wenn die Gesellschafter nichts anderes vorgesehen haben, die Güter der Gesellschaft in Bausch und Bogen verkaufen und Vergleiche und Schiedsverträge abschließen.	Liquidator	Abwickler	Abwickler	
Stellt die Bank ein Sparbuch aus, so sind die Einzahlungen und Behebungen in das Buch einzutragen.	Sparbuch			Sparheft
Bei Fehlen einer Aufforderung durch den Käufer muß der Verkäufer den Verkauf der Optionsrechte für Rechnung des Käufers durch einen Börsenmakler oder ein Kreditinstitut besorgen.	Börsenmakler			Börsenhändler
Beim Bankvorschuss gegen Verpfändung von Wertpapieren oder Waren kann die Bank nicht über die als Pfand erhaltenen Sachen verfügen, wenn sie eine Urkunde ausgestellt hat, in der diese Sachen einzeln angeführt sind.	Bankvorschuss	Zwischenkredit	Zwischenkredit	
Der mit der beglaubigten Unterschrift der Vertragsteile versehene Gründungsvertrag  ist von den Geschäftsführern innerhalb von dreißig Tagen zur Eintragung bei jenem Handelsregisteramt zu hinterlegen, in dessen Sprengel der Sitz der Gesellschaft festgelegt wird.	beglaubigte Unterschrift		beglaubigte Unterzeichnung	
Wenn in der Abmachung eine längere Dauer angegeben oder die Dauer nicht festgesetzt worden ist, gilt das Wettbewerbsverbot für einen Zeitraum von fünf Jahren ab der Übertragung.	Wettbewerbsverbot			Konkurrenzverbot
Die nicht verkauften Aktien müssen  unter entsprechender Herabsetzung des Kapitals vernichtet werden.	Herabsetzung des Kapitals	Herabsetzung des Grundkapitals,Herabsetzung des Stammkapitals,Kapitalherabsetzung	Herabsetzung des Grundkapitals,Herabsetzung des Stammkapitals,Kapitalherabsetzung	Herabsetzung des Grundkapitals,Herabsetzung des Stammkapitals,Kapitalherabsetzung
Liegt grobe Fahrlässigkeit vor, kann das Gericht den Strafangestellter verurteilen, dem Angeklagten und dem zivilrechtlich Haftenden, die dies beantragt haben, den Schaden zu ersetzen.	grobe Fahrlässigkeit		Leichtfertigkeit	
Der Vertrag wird aufgelöst, wenn nach dem Vertragsabschluß das Risiko wegfällt, doch hat der Versicherer so lange Anrecht auf Zahlung der Prämien, bis ihm der Wegfall des Risikos mitgeteilt worden oder sonstwie bekanntgeworden ist.	Wegfall des Risikos	Risikowegfall	Risikowegfall	
Die Verschmelzung und die Zusammenlegung von Betrieben mehrerer Versicherungsunternehmen sind kein Grund für eine Auflösung des Versicherungsvertrages.	Zusammenlegung	Unternehmenskonzentration	Unternehmenskonzentration	
Auf die Einlagen der Gesellschafter und auf die Geschäfte, durch die die Gesellschaft Güter und Forderungen von Gründungsgesellschaftern, Gesellschaftern und Verwaltern erwirbt, finden die Artikel 2342, 2343 und 2343-bis Anwendung.	Gründungsgesellschafter	Gründer	Gründer,Gründeraktionär,Gründungsaktionär	Gründer
Die Gesellschaft kann eigene Aktien nur in den Grenzen der in der letzten ordnungsgemäß genehmigten Bilanz ausgewiesenen verteilbaren Gewinne und verfügbaren Rücklagen erwerben.	Rücklagen	Reserve	Reserve	Reserve
Die im vorhergehenden Artikel enthaltenen Beschränkungen sind nicht anzuwenden, wenn der Erwerb eigener Aktien auf Grund einer Gesamtrechtsnachfolge oder einer Verschmelzung erfolgt.	Gesamtrechtsnachfolge	Universalsukzession	Universalsukzession	Universalsukzession
Solange sich die Aktien im Eigentum der Gesellschaft befinden, steht das Recht auf den Gewinn und das Bezugsrecht den anderen Aktien anteilig zu.	Recht auf Gewinnbeteiligung,Recht auf den Gewinn	Dividendenrecht,Gewinnanteilsrecht	Dividendenrecht,Recht auf Dividende,Recht auf Gewinnanteil	Anspruch auf Gewinn,Recht auf Dividende,Recht auf Gewinnanteil
Zur Anwendung der Ziffern 1) e 2) des ersten Absatzes werden auch die Stimmrechte gezählt, die abhängigen Gesellschaften, Treuhandgesellschaften oder einer vorgeschobenen Person zustehen; Stimmrechte, die für Dritte zustehen, werden nicht gezählt.	abhängige Gesellschaft	Tochtergesellschaft,abhängiges Unternehmen	Konzern-Tochter,Konzerntochter,Tochtergesellschaft,Tochterunternehmen,abhängiges Unternehmen	Tochtergesellschaft,Untergesellschaft
Die außerordentliche Gesellschafterversammlung der Gesellschafter, deren Aktien an der Börse notiert sind, kann, wenn die nach der zweiten Einberufung anwesenden Gesellschafter nicht den für die Beschlußfassung erforderlichen Teil des Kapitals vertreten, neuerlich binnen dreißig Tagen einberufen werden.	außerordentliche Gesellschafterversammlung	außerordentliche Hauptversammlung	außerordentliche Hauptversammlung	außerordentliche Versammlung
Der Masseverwalter verwaltet das Konkursvermögen und nimmt im Rahmen der ihm übertragenen Aufgaben alle Verfahrenshandlungen unter der Aufsicht des beauftragten Richters und des Gläubigerausschusses vor.	Masseverwalter		Insolvenzverwalter,Konkursverwalter	
Das Gesetz bestimmt die Fälle der Nichtwählbarkeit und der Unvereinbarkeit mit der Stellung eines Abgeordneten oder Senators.	Nichtwählbarkeit,Unwählbarkeit	Ausschluss von der Wählbarkeit	Ausschluss von der Wählbarkeit,Ineligibilität	
Unabhängig von der Höhe des Fonds für die gesetzliche Rücklage muß diesem mindenstens ein Fünftel des jährlichen Reingewinns zugeführt werden.	gesetzliche Rücklage			gesetzliche Reserve
Bei Gesellschaften ohne Aufsichtsrat ist jeder Gesellschafter berechtigt, von den Verwaltern über den Geschäftsgang der Gesellschaft Auskunft zu erhalten und die Gesellschaftsbücher einzusehen.	Bücher der Gesellschaft,Gesellschaftsbücher			Geschäftsbücher,Papiere der Gesellschaft
Die Übertragung der Anteile wird der Gesellschaft gegenüber im Zeitpunkt der Eintragung in das Gesellschafterbuch wirksam.	Gesellschafterbuch,Mitgliederverzeichnis,Mitgliedsbuch	Gesellschafterliste	Aktienbuch,Gesellschafterliste	Aktienbuch,Anteilsbuch
Außer den Büchern und anderen Rechnungsunterlagen, die gemäß Artikel 2214 vorgeschrieben sind, hat die Gesellschaft zu führen:  ein Buch über die Schuldverschreibungen, in dem der Betrag der ausgegebenen und der eingelösten Schuldverschreibung  anzugeben ist .	Buch für die Schuldverschreibungen,Buch über die Schuldverschreibungen		Verzeichnis der Schuldverschreibungen	
Die Verwalter haben den Jahresabschluß, der aus der Bilanz, der Gewinn- und Verlustrechnung und dem Anhang besteht, aufzustellen.	Bilanz		Jahresbilanz	
Bei den Bewertungen sind folgende Richtlinien zu beachten: die Kosten des Sachanlagevermögens und des immateriellen Anlagevermögens, deren Nutzung zeitlich begrenzt ist, müssen in jedem Geschäftsjahr planmäßig im Verhältnis zu ihrer restlichen Nutzungsmöglichkeit abgeschrieben werden.	immaterielles Anlagevermögen	immaterielle Vermögensgegenstände	immaterielle Vermögensgegenstände	immaterielle Anlagen
Die Herstellungskosten enthalten alle unmitelbar dem Erzeugnis zurechenbaren Kosten.	Aufwendungen,Ausgaben,Auslagen,Kosten			Aufwände
Die vom Testamentvollstrecker zur Ausübung seines Amtes gemachten Auslagen gehen zu Lasten der Erbschaft.	Aufwendungen,Ausgaben,Auslagen,Kosten			Aufwände
Der Wiederverkäufer kann an den Erzeugnissen, die er vertreibt, eine eigene Marke anbringen, darf jedoch nicht die vom Hersteller stammende Marke entfernen.	Marke	Warenzeichen	Warenzeichen	Warenzeichen
Bei den Bewertungen sind folgende Richtlinien zu beachten: die Kosten des Sachanlagevermögens und des immateriellen Anlagevermögens, deren Nutzung zeitlich begrenzt ist, müssen in jedem Geschäftsjahr planmäßig im Verhältnis zu ihrer restlichen Nutzungsmöglichkeit abgeschrieben werden.	Sachanlagevermögen	Sachanlagen	Sachanlagen	Sachanlagen
Die Bilanz ist gemäß der folgenden Gliederung aufzustellen: AKTIVA:  Finanzanlagevermögen, unter gesonderter Angabe der für jeden Forderungsposten im folgenden Geschäftsjahr fällig werdenden Beträge .	Finanzanlagevermögen	Finanzanlagen	Finanzanlagen	Finanzanlagen
Die Forderungen des Staates aus der Anwendung der Mehrwertsteuer haben im Falle der gesamt-schuldnerischen Haftung des Übernehmers an den Liegenschaften, die Gegenstand der Übertragung gebildet haben oder auf die sich die Dienstleistung bezieht, ein Vorzugsrecht.	Mehrwertsteuer,MwSt.	USt,Umsatzsteuer	USt,Umsatzsteuer	MWST
Jede Aktie gewährt das Recht auf einen verhältnismäßigen Teil des Reingewinns und des Reinvermögens, das sich aus der Liquidation ergibt, unbeschadet der Rechte, die zu Gunsten der besonderen Arten der Aktien festgesetzt sind.	Eigenkapital,Reinvermögen	Nettovermögen	Nettovermögen	Nettovermögen
Wird die Beteiligung erstmals aufgrund des Eigenkapital-Verfahrens angesetzt, können die Anschaffungskosten  bei den Aktiva ausgewiesen werden .	Aktiva,Aktivseite,Aktivstand,Aktivvermögen	Vermögen		Aktiven
