context	tgt_term_gold	tgt_term_homonym
Wer dem Versicherer den Antrag zum Abschlusse eines Versicherungsvertrages gestellt und für die Annahme keine kürzere Frist gesetzt hat, bleibt 14 Tage gebunden.	Versicherer	Versicherungsagent
Wer ein fremdes Geheimnis, namentlich ein zum persönlichen Lebensbereich gehörendes Geheimnis oder ein Betriebs- oder Geschäftsgeheimnis, offenbart , wird mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe bestraft.	Geheimnis	Geheimhaltung,geh.,geheim
Wer eine Behörde, ein Mitglied einer Behörde oder einen Beamten durch Gewalt oder Drohung an einer Handlung, die innerhalb ihrer Amtsbefugnisse liegt, hindert, zu einer Amtshandlung nötigt oder während einer Amtshandlung tätlich angreift, wird  bestraft.	Gewalt	Zwang
Wer eine Erbschaft erwerben will, muss dem Gericht den Rechtstitel (Erbvertrag, letztwillige Verfügung oder Gesetz) nachweisen und ausdrücklich erklären, die Erbschaft anzutreten.	Rechtstitel	Titel,Überschrift
Wer eine Schenkung unter einer Auflage macht, kann die Vollziehung der Auflage verlangen, wenn er seinerseits geleistet hat.	Auflage	Obliegenheit
Wer eine fremde bewegliche Sache einem anderen mit dem Vorsatz wegnimmt, sich oder einen Dritten durch deren Zueignung unrechtmäßig zu bereichern, ist mit Freiheitsstrafe bis zu sechs Monaten oder mit Geldstrafe bis zu 360 Tagessätzen zu bestrafen.	Zueignung	Besitzergreifung,Inbesitznahme,psysische Ergreifung
Wer einen Minderjährigen unter vierzehn Jahren oder eine Person , die unfähig ist, für sich selbst zu sorgen, und deren Beaufsichtigung oder Pflege ihm obliegt, verläßt, wird mit Gefängnisstrafe von sechs Monaten bis zu fünf Jahren bestraft.	Beaufsichtigung	Aufbewahrung,Verwahrung
Wer für eine gewerbliche Erfindung ein Patent erteilt bekommen hat, hat das ausschließliche Recht, die Erfindung zu verwirklichen und über sie innerhalb der vom Gesetz gezogenen Grenzen und zu den von diesem festgesetzten Bedingungen zu verfügen.	gewerbliche Erfindung	Fund
Wer in seiner Persönlichkeit widerrechtlich verletzt wird, kann zu seinem Schutz gegen jeden, der an der Verletzung mitwirkt, das Gericht anrufen.	Schutz	Schutzeinrichtung,Schutzvorrichtung
Wer in seiner Persönlichkeit widerrechtlich verletzt wird, kann zu seinem Schutz gegen jeden, der an der Verletzung mitwirkt, das Gericht anrufen.	widerrechtlich	Unrecht,rechtswidriges Verhalten
Wer nicht möchte, dass sein Enkel oder seine Enkelin schon mit 18 Jahren frei über das geerbte Geld verfügt, kann die Erbschaft mit einer Auflage versehen.	Enkelin	Nichte
Wer sich an solchen Vereinigungen (zu terroristischen Zwecken) beteiligt, wird mit Gefängnisstrafe von vier bis zu acht Jahren bestraft.	Vereinigung	Verein
Wer unrechtmässig in Anstalten oder andere Örtlichkeiten eindringt, zu denen der Zutritt von der Militärbehörde verboten ist, militärische Anstalten oder Gegenstände abbildet, oder solche Abbildungen vervielfältigt oder veröffentlicht, wird mit Haft oder mit Busse bestraft.	Zutritt	Zugang,Zutrittsrecht
Wer vorsätzlich oder fahrlässig das Leben, den Körper, die Gesundheit, die Freiheit, das Eigentum oder ein sonstiges Recht eines anderen widerrechtlich verletzt, ist dem anderen zum Ersatz des daraus entstehenden Schadens verpflichtet.	widerrechtlich	Unrecht,rechtswidriges Verhalten,unerlaubte Handlung
Wer zum Nachteil eines anderen Maße oder Gewichte mit nachgemachtem oder verfälschtem gesetzlichen Ausdruck oder sonst verfälschte Maße oder Gewichte verwendet, wird mit Gefängnisstrafe bis zu sechs Monaten und mit Geldstrafe bis zu einer Million Lire bestraft.	gesetzlich	rechtsgültig
Wer zur Abgabe einer Willenserklärung durch arglistige Täuschung oder widerrechtlich durch Drohung bestimmt worden ist, kann die Erklärung anfechten.	Drohung	Androhung,Bedrohung
Wer zur Abgabe einer Willenserklärung durch arglistige Täuschung oder widerrechtlich durch Drohung bestimmt worden ist, kann die Erklärung anfechten.	arglistig	vorsätzlich
Wer zur Abgabe einer Willenserklärung durch arglistige Täuschung oder widerrechtlich durch Drohung bestimt worden ist, kann die Erklärung anfechten.	arglistige Täuschung	Vorsatz
Wer zur Erfüllung einer Verwaltungsaufgabe sachlich, örtlich und funktionell zuständig ist, ist auch befugt, damit verbundene Verwaltungsrechtsverhältnisse durch Verfügung zu regeln.	Verfügung	Massnahme
Werden Bauten, Gebäudeteile, Arbeitsmittel (Maschinen, Apparate, Werkzeuge und Anlagen, die bei der Arbeit benutzt werden) oder Arbeitsverfahren geändert oder werden im Betrieb neue Stoffe verwendet, so muss der Arbeitgeber die Schutzmassnahmen und Schutzeinrichtungen den neuen Verhältnissen anpassen.	Schutzeinrichtung	Schutz
Werden am Arbeitsplatz Sprengstoffe verwendet, so ist in den Zonen 0 und 20 nur die Verwendung von schlagwettersicheren Sprengstoffen erlaubt, die vom Hersteller als solche deklariert wurden.	Sprengstoff	explosionsfähig,explosionsgefährlich,explosiv
Werden bei Arbeitsvorgängen offene radioaktive Stoffe unter Anwendung der notwendigen Sicherheitsmaßnahmen verwendet, so ist für die Dauer dieser Arbeitsvorgänge eine Kennzeichnung der radioaktiven Stoffe nicht erforderlich. Bei diesen Arbeitsvorgängen muss eine mit diesen Sicherheitsmaßnahmen vertraute Person anwesend sein.	Sicherheitsmaßnahme	vorbeugende Maßnahme
Werden bewegliche Sachen miteinander dergestalt verbunden, dass sie wesentliche Bestandteile einer einheitlichen Sache werden, so werden die bisherigen Eigentümer Miteigentümer dieser Sache; die Anteile bestimmen sich nach dem Verhältnis des Wertes, den die Sachen zur Zeit der Verbindung haben.	Verbindung	Aufnahme
Werden die Flächen für den geförderten Wohnbau  direkt zugunsten des Wohnbauinstituts enteignet, wird ein einmaliger Beitrag in Höhe der gesamten Enteignungsentschädigung gewährt.	Enteignungsentschädigung	Entschädigung
Werden durch Absaugungen Stoffe erfasst, die brand- und explosionsfähig sind, haben der Betreiber und der Anbieter der Absaugungen bei der technischen Planung darauf Rücksicht zu nehmen.	explosionsfähig	explosionsgefährlich,explosiv
Wertpapiere, die Rechte der Einleger (Anteilinhaber) gegen eine Kapitalgesellschaft oder einen sonstigen Fonds verbriefen (Anteilscheine), sind mit dem Rücknahmepreis anzusetzen.	Fonds	Grundstück
Wesentlich für die Beurteilung, ob ein Objekt leasingfähig ist, ist die Fungibilität; diese ist entscheidend für die Wiederverwertbarkeit eines Leasing-Objektes.	Leasing-Objekt	Gut,Sache
Wir haben di dinglichen Rechte als absolute, jeder Person gegenüber geltende Rechte bezeichnet. Diesem Charakter entspricht eine möglichts weitgehende Publizität (Öffentlichkeit).	Publizität	Werbung
Wird das Benützungsrecht des Untervermieters aufgelöst, so hat der Untervermieter den Untermieter hievon unverzüglich in Kenntnis zu setzen.	Benützungsrecht	Brauch,Gewohnheitsrecht
Wird das Erscheinen angeordnet, so ist die Partei von Amts wegen zu laden. Die Ladung ist der Partei selbst mitzuteilen, auch wenn sie einen Prozessbevollmächtigten bestellt hat; der Zustellung bedarf die Ladung nicht.	Prozessbevollmächtigter	Prokurist
Wird der Enthaltungserklärung oder Ablehnungserklärung stattgegeben, darf der Richter keine Verfahrenshandlungen mehr vornehmen.	Verfahrenshandlung	verfahrensbezogener Akt
Wird der Vertrag  gekündigt, so findet die Vorschrift  Anwendung. Die Mehrkosten für die Rückbeförderung sind von den Parteien je zur Hälfte zu tragen.	Partei	Teilnehmer,Versicherungsnehmer
Wird die Aufbewahrung unentgeltlich übernommen, so hat der Verwahrer nur für diejenige Sorgfalt einzustehen, welche er in eigenen Angelegenheiten anzuwenden pflegt.	Aufbewahrung	Lagern
Wird die Erbschaft mit Vorbehalt der rechtlichen Wohlthat des Inventariums angetreten; so ist sogleich vom Gerichte das Inventarium auf Kosten der Masse aufzunehmen.	Vorbehalt	Pflichtteil,Rücklage
Wird die Sicherheit unzulänglich, kann die Bank eine zusätzliche Sicherheit oder den Austausch des Sicherheitsleistenden verlangen.	Sicherheitsleistender	Garant
Wird die Zwangsvollstreckung wegen einer Forderung aus einer vorsätzlich begangenen unerlaubten Handlung betrieben, so kann das Vollstreckungsgericht auf Antrag des Gläubigers den pfändbaren Teil des Arbeitseinkommens ohne Rücksicht auf die in § 850c vorgesehenen Beschränkungen bestimmen; .	unerlaubt	Unrecht,rechtswidriges Verhalten,unerlaubte Handlung
Wird die Zwangsvollstreckung wegen einer Forderung aus einer vorsätzlich begangenen unerlaubten Handlung betrieben, so kann das Vollstreckungsgericht auf Antrag des Gläubigers den pfändbaren Teil des Arbeitseinkommens ohne Rücksicht auf die in § 850c vorgesehenen Beschränkungen bestimmen; .	unerlaubte Handlung	rechtswidrige Handlung
Wird eine erwerbstätige Person  zum Beispiel krank oder arbeitslos, erhält sie eine finanzielle Unterstützung aus der Kranken- oder Arbeitslosenversicherung (Krankengeld oder Arbeitslosenunterstützung).	erwerbstätige Person	Arbeitnehmer,unselbstständig Erwerbstätiger
Wird eine gefährliche Arbeit oder eine gefährliche Tätigkeit von einer Person allein ausgeführt, so hat der Unternehmer über die allgemeinen Schutzmaßnahmen hinaus für geeignete technische oder organisatorische Personenschutzmaßnahmen zu sorgen.	gefährliche Tätigkeit	gefährliche Unternehmung
Wird einer am Verfahren beteiligten Person die Einsichtnahme in ein Aktenstück verweigert, so wird auf dieses nur abgestellt, wenn ihr die Behörde von seinem für die Sache wesentlichen Inhalt mündlich oder schriftlich Kenntnis gegeben hat.	Aktenstück	Prozesshandlung,Verfahrenshandlung
Wird in einer Gemeinde mehr als eine gültige Wahlvorschlagliste eingereicht, so muß die Wahl unter Berücksichtigung der Grundsätze der Verhältniswahl erfolgen.	Wahlvorschlagliste	Verzeichnis der Wahlberechtigten,Wählerverzeichnis
Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.	Satz	Zeitraum
Wird nach Ausstellung einer neuen Zulassungsbescheinigung Teil I für eine in Verlust geratene Bescheinigung diese wieder aufgefunden, hat der Halter oder Eigentümer sie unverzüglich der zuständigen Zulassungsbehörde abzuliefern.	Zulassungsbescheinigung Teil I	Sparbuch
Wo eine Verjährung von fünf oder mehr Jahren neu eingeführt ist, wird der abgelaufene Zeitraum einer vor dem Inkrafttreten dieses Gesetzes begonnenen Verjährung angerechnet, wobei jedoch zur Vollendung der Verjährung noch mindestens zwei Jahre seit diesem Zeitpunkte ablaufen müssen.	Zeitraum	Satz
Wohnungen haben einen eigenen Eingang unmittelbar vom Treppenhaus, von einem Vorraum oder von außen, das heißt, dass die Bewohner ihre Wohnung betreten und verlassen können, ohne durch die Wohnung eines anderen Haushalts gehen zu müssen.	Treppenhaus	Leiter,Treppe
Wollen mehrere Miterben das Einlösungsrecht ausüben, so wird der Anteil allen zu gleichen Teilen zugewiesen.	Einlösungsrecht	Wiederkaufsrecht
Wurde der Rekurs angenommen und die Feststellung des Verstoßes für unbegründet erklärt, so bewirkt die Anordnung das Erlöschen der Zusatzstrafe und die Rückgabe des Fahrzeugs durch das Polizeiorgan .	Anordnung	Beschluss,Verfügung,Verordnung
Wurde die Forderungsexekution im vereinfachten Bewilligungsverfahren bewilligt, so darf an den betreibenden Gläubiger erst vier Wochen nach Zustellung des Zahlungsverbots an den Drittschuldner geleistet oder der Betrag hinterlegt werden.	Forderungsexekution	Anspruchsexekution,Exekution auf Ansprüche auf Herausgabe und Leistung körperlicher Sachen
Wählbar ist bei den Sozialversicherungswahlen nicht, wer  als leitender Beamter oder Angestellter bei einer Behörde, die Aufsichtsrechte gegenüber dem Versicherungsträger hat, oder  als anderer Beamter oder Angestellter bei einer solchen Behörde im Fachgebiet Sozialversicherung beschäftigt ist.	leitender Beamter	Führungskraft,leitender Angestellter
Während das Wort Aktie sowohl den Bruchteil des Grundkapitals wie die Mitgliedschaft bezeichnet, finden sich bei der GmbH für die beiden Begriffe zwei verschiedene Ausdrücke: Stammeinlage und Geschäftsanteil.	Geschäftsanteil	Anteil
Während das Zivilrecht durch die Privatautonomie geprägt und damit geradezu auf den Vertrag als Gestaltungsmittel ausgerichtet ist, wird das Verwaltungsrecht durch den Grundsatz der Gesetzmäßigkeit beherrscht.	Grundsatz der Gesetzmäßigkeit	Legalitätsprinzip
Während ein Tatirrtum eine unrichtige Vorstellung oder das Fehlen einer Vorstellung über die objektiven Tatmerkmale ist, liegt ein Rechtsirrtum vor, wenn der Täter nicht erkennt, daß sein Verhalten rechtlich verboten ist.	Tatirrtum	Tatsachenirrtum
Zahlungen für den Unternehmer kann der Handelsvertreter nur dann annehmen, wenn er hiezu ermächtigt ist.	Handelsvertreter	Arbeitsstoff,Einwirkung,Täter
Zeigt sich im Laufe der Mietzeit ein Mangel der Mietsache oder wird eine Maßnahme zum Schutz der Mietsache gegen eine nicht vorhergesehene Gefahr erforderlich, so hat der Mieter dies dem Vermieter unverzüglich anzuzeigen.	Maßnahme	Verwaltungsakt
Zickzacklinien  kennzeichnen Haltestellen für Busse im öffentlichen Linienverkehr.	Haltestelle	Halten
Ziel des neunten Titels (des ZGB) ist es, Familienverhältnisse zu regeln, die  eine Mehrzahl von Verwandten und/oder im selben Haushalt lebenden Personen betreffen oder über Generationen bedeutsam sind.	im selben Haushalt lebende Person	Lebenspartner
Ziele : 1. Verringerung der Inzidenz von Verkehrsunfällen, Arbeitsunfällen und Unfällen im Haushalt ; 2. Senkung der Mortalität und der Anzahl der Fälle von Invalidität aufgrund von Arbeits- und Verkehrsunfällen sowie von Unfällen im Haushalt .	Unfall im Haushalt	Haushaltsunfall
Zu ihrer Verbindlichkeit bedürfen der Aufnahme in die Statuten:  die Gewährung eines Austrittsrechtes .	Austrittsrecht	Rücktrittsrecht
Zuerst trägt der Untersuchungsrichter eine Darstellung des bisherigen Ganges der Untersuchung vor. Hierauf erhält der Staatsanwalt das Wort und dann der Beschuldigte oder sein Verteidiger zur Erwiderung.	Erwiderung	Gegeneinwendung
Zugangsöffnungen für Behälter, Silos und enge Räume, in denen Arbeiten durchzuführen sind, müssen so groß und so angeordnet sein, dass das Ein- und Aussteigen und Retten von Personen jederzeit möglich ist.	Zugangsöffnung	Zufahrt,Zugang,Zugangsrecht,Zutritt,Zutrittsrecht
Zugunsten der Gläubiger der übernehmenden Gesellschaft bestehen keine entsprechenden Schutzvorkehrungen, obwohl sich eine Fusion auch für sie nachteilig auswirken kann.	übernehmende Gesellschaft	neue Gesellschaft
Zum Abschlusse eines Vertrages ist die übereinstimmende gegenseitige Willensäusserung der Parteien erforderlich.	Partei	Kunde,Versicherungsnehmer
Zum Fachgebiet Denkmalschutz gehören folgende Teilgebiete und dazugehörige Aufgaben:Interessenwahrung Kulturraum: Stellungnahmen zu Bundesinventaren, zivilen Planungs- und Bauvorhaben Denkmalschutz bei MPV-pflichtigen Bauprojekten, .	Denkmalschutz	Konservierung
Zum Unterschied von der Bedingung steht bei der Befristung fest, daß der Zeitpunkt kommen wird; er ist insofern gewiß.	Befristung	Grenzzeichen,Verfahrensfrist,prozessuale Frist
Zur Berufsausübung ist die Eintragung in die Berufskammer erforderlich. Voraussetzungen dafür sind:  Staatsprüfung zur Erlangung der Berufsbefähigung.	Staatsprüfung zur Erlangung der Berufsbefähigung	staatliche Abschlussprüfung
Zur Bewilligung der Exekution ist das  Exekutionsgericht zuständig.	Exekutionsgericht	Vollzugsgericht
Zur Entstehung einer rechtsfähigen Stiftung sind das Stiftungsgeschäft und die Anerkennung durch die zuständige Behörde des Landes erforderlich, in dem die Stiftung ihren Sitz haben soll.	Anerkennung	Identifizierung,Wiedererkennen
Zur Errichtung einer Grunddienstbarkeit bedarf es der Eintragung in das Grundbuch.	Grunddienstbarkeit	Dienstbarkeit,Dienstbarkeitsrecht,Servitut
Zur Verwirklichung der  Ziele hält sich das Land in der Verwaltungstätigkeit an die Kriterien der Effizienz  der Publizität.	Publizität	Werbung
Zur Verwirklichung der vom Gesetz vorgesehenen Ziele hält sich das Land in der Verwaltungstätigkeit an die Kriterien der Effizienz, der Wirtschaftlichkeit, der Rationalität und der Publizität.	Verwaltungstätigkeit	Verwaltungsaufgabe,Verwaltungsfunktion
Zur Vorbereitung der Entscheidung kann das Gericht  folgende Maßnahmen durchführen : Rechtliches Gehör , Glaubhaftmachung , Erhebungen , Mündlicher Erortungstermin .	Vorbereitung der Entscheidung	Sachverhaltsermittlung
Zur Vornahme einzelner Prozesshandlungen bedarf der Verteidiger keiner besonderen Vollmacht.	Prozesshandlung	Aktenstück,Aktenteil
Zur ordnungsgemäßen Durchführung der mit den Hauptuntersuchungen verbundenen Kontrollen und Prüfungen müssen die Unternehmen laut Absatz 8 geeignete, in der Verordnung näher festgelegte fachliche und berufliche Voraussetzungen besitzen und über entsprechende Ausstattungen und Räumlichkeiten verfügen.	Verordnung	Geschäftsordnung
Zur Überprüfung der Arbeitsfähigkeit hinsichtlich einer möglichen Eingliederung in die Arbeitswelt werden den Nutzerinnen und Nutzern verschiedene kurze, gezielte Praktika in Privatbetrieben, öffentlichen Körperschaften, Vereinigungen und Sozialgenossenschaften für einen maximalen Zeitraum von in der Regel sechs Monaten angeboten.	Arbeitsfähigkeit	Erwerbsfähigkeit
Zurechnungsfähig ist, wer im Zeitpunkt der Begehung der Tat das vierzehnte, aber noch nicht das achtzehnte Lebensjahr vollendet hatte und einsichts- und willensfähig war .	zurechnungsfähig	zurechenbar
Zusätzlich zum Konformitätskennzeichen müssen Medizinprodukte, deren Konformität  von einer Konformitätsbewertungsstelle zu beurteilen ist, die Kennnummer der verantwortlichen Stelle tragen.	Kennnummer	Benutzerkennung
Verbotszeichen sind als weiße Kreise mit schwarzem Piktogramm und rotem Rand  zu gestalten.	Verbotszeichen	Verbots- oder Beschränkungszeichen
Arbeitnehmer unterliegen  der Gesundheitsüberwachung, wenn sie gesundheitsgefährdenden chemischen Arbeitsstoffen ausgesetzt sind, die als hochgiftig, giftig, gesundheitsschädlich, sensibilisierend, irritierend, für den Produktionszyklus giftig, krebserregend und erbgutverändernd  klassifiziert sind.	krebserregend	Karzinogen,karzinogener Arbeitsstoff
Auch Vollstreckungsakte stellen unzweifelhaft hoheitliche Verwaltungsakte dar. Ihnen muss jedoch ein bestehender (oder wenigstens bevorstehender) Vollstreckungstitel zu Grunde liegen.	Vollstreckungsakt	Ausführungshandlung,Vollstreckungshandlung
Beim rechtswidrigen VA (ist)  zwischen formellen (förmlichen) und materiellen (inhaltlichen) Fehlern zu trennen.	Fehler	Mangel
Bund oder Länder können die Verwaltungsaufgabe entweder selbst durch eigene Behörden wahrnehmen (unmittelbare Staatsverwaltung) oder die Aufgabe auf unterstaatliche Verwaltungsträger (Körperschaft, Anstalt oder Stiftung) übertragen (sog. mittelbare Staatsverwaltung).	Verwaltungsaufgabe	Verwaltung,Verwaltungstätigkeit
Das Spektrum der IR-Strahlung wird unterteilt in IR-A-Strahlung (780 bis 1 400 Nanometer), IR-B-Strahlung (1 400 bis 3 000 Nanometer) und IR-C-Strahlung (3 000 Nanometer bis 1 Millimeter).	IR-Strahlung	ionisierende Strahlung
Das Wohnungseigentum setzt sich aus dem Sondereigentum und dem Miteigentumsanteil als unlöslicher Zweiheit zusammen.	Wohnungseigentum	Gemeinschaft der Wohnungseigentümer
Der Schutz des Gehörs soll bei der Arbeit ernst genommen werden .	Schutz des Gehörs	Gehörschutz,Gehörschutzmittel,persönliche Schutzausrüstung für das Gehör
Die Anzahl der erwerbstätigen Personen im zweiten Quartal 2018 liegt in Südtirol bei 252.000. Die Erwerbstätigenquote (15-64 Jahre) beläuft sich auf 72,5% und die saisonbereinigte Arbeitslosenquote auf 2,9%. Die errechnete Zahl der Arbeitsuchenden beläuft sich auf 8.600.	erwerbstätige Person	Arbeitnehmer,unselbstständig Erwerbstätiger
Die Auswahl des richtigen Handschutzes hat auf der Grundlage einer qualifizierten Gefährdungsbeurteilung zu erfolgen.	Handschutz	Schutz der Hände
Die Benennung kann unter Auflagen erteilt werden und ist zu befristen. Erteilung, Ablauf, Rücknahme, Widerruf und Erlöschen der Benennung sind dem Bundesministerium für Gesundheit unverzüglich anzuzeigen.	Benennung	Zustellung
Die Börse lässt sich als (teilrechtsfähige) funktionale Selbstverwaltungskörperschaft begreifen, die keinen verfassungsrechtlichen Schutz genießt und die darüber hinaus auch mit Satzungsautonomie und  Selbstgerichtsbarkeit ausgestattet ist.	funktionale Selbstverwaltungskörperschaft	funktionale Selbstverwaltung
Die Eingreifschwelle für Radongasexposition liegt in Italien bei 500 Bq/m³ Jahresmittelwert (= 3 mSv/2000 Arbeitsstunden pro Jahr). Bei Überschreitung der Grenzwerte müssen geeignete Gegenmaßnahmen eingeleitet werden.	Eingreifschwelle	Auslösewert
Die Erklärung ist nichtig, wenn sie einem anderen gegenüber abzugeben ist und dieser den Vorbehalt kennt.	Vorbehalt	Pflichtteil,Rücklage
Die Geldbuße darf  nicht höher sein als vier Stunden des Grundlohnes und die Suspendierung von Dienst und Entlohnung 10 Tage nicht überschreiten.	Geldbuße	Geldstrafe
Die Nachkommen eines letztwillig bedachten Kindes des Erblassers gelten als Ersatzerben des eingesetzten Kindes, wenn dieses vor dem Erblasser stirbt .	Ersatzerbe	Nacherbe
Die Nichtanerkennung des deutschen Scheidungsurteils auf Grund des spanischen ordre public kann aus der Sicht der deutschen Rechtsordnung nicht hingenommen werden, da es sich um die Beurteilung eines rein inlandsbezogenen Sachverhalts handelt.	ordre public	öffentliche Ordnung,öffentliche Sicherheit,öffentlicher Frieden
Die VS Verschlusssachen sind mit Geschäftszeichen und Datum zu versehen. Das Geschäftszeichen ist am Schluss durch die Abkürzung VS-Vertr. zu ergänzen.	VS-Vertr.	Verschreibung zur wiederholten Abgabe,Wiederholungsrezept,Wiederholungsverordnung
Die betroffene Person kann über das Fahrzeug und die dazugehörigen Papiere ausschließlich zum Zwecke der Verschrottung und Löschung des Fahrzeuges verfügen, sofern sie beim Feststellungsorgan eine Kaution hinterlegt .	Löschung	Strahlung
Die präventive Konservierung von Kunst und Kulturgut stellt eines der wichtigsten Arbeitsfelder der Konservierung-Restaurierung dar .	präventive Konservierung	Prävention,Verhütung,Vorbeugung
Die vom Wahlwerber bei Erklärung der Annahme der Kandidatur angegebene Sprachgruppenzugehörigkeit muß der Erklärung entsprechen, die er im Sinne des Artikels 18 des Dekrets des Präsidenten der Republik vom 26. Juli 1976, Nr. 752  abgegeben hat.	Wahlwerber	Bewerber
Das Patientenverfügungs-Gesetz regelt die Voraussetzungen und die Wirksamkeit von Patientenverfügungen.	Wirksamkeit	Effektivität
Das Telemediengesetz gilt für alle elektronischen Informations- und Kommunikationsdienste, soweit sie nicht Telekommunikationsdienste , die ganz in der Übertragung von Signalen über Telekommunikationsnetze bestehen, telekommunikationsgestützte Dienste  oder Rundfunk  sind (Telemedien).	Übertragung	Übermittlung
Das Unternehmen bemüht sich als Gegenleistung für den von den Mitarbeitern geforderten Einsatz, die bestmögliche Gestaltung der Arbeitsumstände zu gewährleisten.	Arbeitsumstände	Arbeitsbedingungen
Der Generalsekretär oder die Generalsekretärin der Gerichtsverwaltung kann einzelne Befugnisse oder Bereiche an leitende Angestellte delegieren.	leitender Angestellter	Leiter,leitender Beamter
Der Grundsatz der Formfreiheit ist durch zahlreiche Sonderregeln eingeschränkt, wobei sich die Formgebundenheit unmittelbar aus dem Gesetz oder aus der Parteienvereinbarung ergeben kann.	Formgebundenheit	gesetzlich vorgeschriebene Form
Die Polizei kann Private auffordern, sie bei der Anhaltung zu unterstüt- zen.	Anhaltung	Anhalten,Freiheitsstrafe
Die Daten waren jedenfalls bis Oktober XXXX grundsätzlich für die Ärzte und das Pflegepersonal einsehbar. Für eine Einsicht bedurfte es einer Patidok-Zugangsberechtigung mit Kennung und Passwort.	Kennung	Identifikationsnummer,Identifizierungsnummer,Kennnummer,Kennziffer
Die Enteignungsbehörde hat den Zustand des Grundstücks vor der Besitzeinweisung in einer Niederschrift feststellen zu lassen, soweit er für die Besitzeinweisungs- oder die Enteignungsentschädigung von Bedeutung ist. Den Beteiligten ist eine Abschrift der Niederschrift zu übersenden.	Enteignungsentschädigung	Entschädigung
Die Unerschwinglichkeit der Leistung wird der objektiven Unmöglichkeit gleichgesetzt. In der Praxis wird die Haftung des Schuldners durch eine Kriegs-, Streik- oder Freizeichnungsklausel eingeschränkt oder aufgehoben oder es kann die Leistung durch eine Gold- oder Valutaklausel gesichert werden.	Unerschwinglichkeit	Unzumutbarkeit
Die von der Bundesregierung eingesetzte Gewaltkommission schlägt zwar eine Beschränkung auf physische Gewalt vor, möchte aber Strafbarkeitslücken dadurch schließen, daß dem § 240 StGB ein drittes Nötigungsmittel in Form vergleichbar schweren psychischen Zwanges hinzuzufügen sei.	physische Gewalt	absolute Gewalt,unmittelbare Gewalt,unmittelbarer körperlicher Zwang,unwiderstehliche Gerwalt,vis absoluta
Durch Wertsicherungsklauseln soll die Geldentwertung zwischen dem Vertragsschluß und dem Zahlungszeitpunkt ausgeglichen werden, was vor allem bei langfristigen Dauerschuldverhältnissen im Interesse des Geldgläubigers von großer praktischer Bedeutung ist.	Geldentwertung	Abwertung
Ein finanzgerichtliches Urteil, in welchem die Finanzbehörde dazu verurteilt worden ist, Einsicht in eine bestimmte Akte zu gewähren, unterliegt grundsätzlich der Vollstreckung nach § 888 ZPO über die Zwangsvollstreckung zur Erwirkung nicht vertretbarer Handlungen.	Zwangsvollstreckung zur Erwirkung nicht vertretbarer Handlungen	Zwangsvollstreckung zur Erwirkung vertretbarer Handlungen
Ein explosionsgefährdeter Bereich ist ein Bereich, in dem die Atmosphäre aufgrund der örtlichen und betrieblichen Verhältnisse explosionsfähig werden kann.	explosionsfähig	explosionsgefährlich,explosiv
Es bedürfe zur Fortbildung des Rechts einer höchstrichterlichen Klärung, ob der objektive Nachweis einer innergemeinschaftlichen Fahrzeuglieferung dann nicht erbracht sei, wenn die Zeitspanne zwischen Abholung des Fahrzeugs bzw. Abmeldung im Inland und der Zulassung im Bestimmungsland einen Monat überschreite.	Abmeldung	Strahlung
Es sei M.W. als verantwortlicher Beauftragter (für die betreffende Baustelle) genannt. Zu seinem „sachlichen Zuständigkeitsbereich“ werde Folgendes angegeben: „Bauleiter, Abwicklung der Baustelle, Einhaltung sämtlicher Arbeitnehmerschutzvorschriften einschl. Vorschriften über die Arbeitszeiten und die Arbeitsruhe sowie des Arbeitsinspektionsgesetzes.“	Bauleiter	DL
Es sollen zu einem Stoff folgende Angaben dokumentiert werden, soweit sie vorhanden und dem Betreiber zugänglich sind:  d) Toxizität gegenüber zwei aquatischen Arten aus zwei verschiedenen Ebenen der Nahrungskette .	Nahrungskette	Lebensmittelkette
I subjektiver Hinsicht liegt es nicht vor in Anbetracht dessen, dass der Beschuldigte gewerbsmäßig und als Rückfallstäter tätig war und eine starke Neigung zur Begehung von Finanzdelikten ersichtlich wurde, wobei er darüber hinaus in zumindest einem Fall Anstiftungstäter war.	Rückfallstäter	rückfällig
Im Falle des Auftretens von COVID-19-Symptomen diesen Umstand unverzüglich der Abteilung für Prävention des örtlichen Sanitätsbetriebes über die eigens vorgesehenen Telefonnummern zu melden und sich, in Erwartung der entsprechenden Entscheidungen der Gesundheitsbehörde, der Isolation zu unterziehen.	Isolation	Isolierung
Im Kontakt mit Metallen können sowohl Säuren als auch Laugen Wasserstoffgas bilden können, das – mit Luft bzw. Sauerstoff gemischt – explosionsfähig sein kann.	explosionsfähig	explosionsgefährlich,explosiv
In Nordrhein-Westfalen stehen rund 80.000 Baudenkmäler, etwa 5.800 Bodendenkmäler und mehr als 800 bewegliche Denkmäler - wie Lokomotiven, Schiffe und Hafenkräne - unter Denkmalschutz.	Denkmalschutz	Konservierung
